instance,source_file,channel_id,channel_name,connector_context,secret_type,placeholder,orig_value_length
Bedford,Bedford/Default Group.xml,c14efd23-2c1c-4e53-a59f-dcfe0e727c3b,DICOM,PayloadProcessor API Send,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,c14efd23-2c1c-4e53-a59f-dcfe0e727c3b,DICOM,Write out file to IolMasterImport incoming folder when device is a Zeiss IOLMaster,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,375fe7b2-d55c-4c60-b66f-dc2000c8ea95,Document OUT,SFTP,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,375fe7b2-d55c-4c60-b66f-dc2000c8ea95,Document OUT,sourceConnector,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,375fe7b2-d55c-4c60-b66f-dc2000c8ea95,Document OUT,SFTP,sample_message_outbound,(blanked),364
Bedford,Bedford/Default Group.xml,375fe7b2-d55c-4c60-b66f-dc2000c8ea95,Document OUT,SFTP,username,${REDACTED_USERNAME},15
Bedford,Bedford/Default Group.xml,f703f9cd-a6ee-42e6-8550-c6a9c3fb1c73,Document Upload PP,PayloadProcessor API Send,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,f703f9cd-a6ee-42e6-8550-c6a9c3fb1c73,Document Upload PP,sourceConnector,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,f703f9cd-a6ee-42e6-8550-c6a9c3fb1c73,Document Upload PP,PayloadProcessor API Send,sample_message_outbound,(blanked),448
Bedford,Bedford/Default Group.xml,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,PAS IN,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,PAS IN,Clinic List - PUT,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,PAS IN,PASAPI - Patient,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,PAS IN,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,PAS IN,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
Bedford,Bedford/Default Group.xml,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,PAS IN,AdmitSource,sample_message_inbound,(blanked),884
Bedford,Bedford/Default Group.xml,d69815ee-68d1-4dcb-8896-8b12ba06a9c4,PAS IN,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
Bedford,Bedford/Default Group.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,PAS OUT,Set Message Type and data,sample_message_inbound,(blanked),792
Bedford,Bedford/Default Group.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,PAS OUT,Set Message Type and data,sample_message_outbound,(blanked),148
Bolton,Bolton/CORRESPONDENCE OUT.xml,7a04b9d1-70ac-4008-b809-732b88267f5c,CORRESPONDENCE OUT,Copy file to share,password,${REDACTED_PASSWORD},11
Bolton,Bolton/CORRESPONDENCE OUT.xml,7a04b9d1-70ac-4008-b809-732b88267f5c,CORRESPONDENCE OUT,sourceConnector,password,${REDACTED_PASSWORD},11
Bolton,Bolton/CORRESPONDENCE OUT.xml,7a04b9d1-70ac-4008-b809-732b88267f5c,CORRESPONDENCE OUT,Copy file to share,sample_message_outbound,(blanked),736
Bolton,Bolton/CORRESPONDENCE OUT.xml,7a04b9d1-70ac-4008-b809-732b88267f5c,CORRESPONDENCE OUT,Copy file to share,username,${REDACTED_USERNAME},17
Bolton,Bolton/DICOM.xml,c14efd23-2c1c-4e53-a59f-dcfe0e727c3b,DICOM,PayloadProcessor API Send,password,${REDACTED_PASSWORD},11
Bolton,Bolton/DICOM.xml,c14efd23-2c1c-4e53-a59f-dcfe0e727c3b,DICOM,Write out file to IolMasterImport incoming folder when device is a Zeiss IOLMaster,password,${REDACTED_PASSWORD},11
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,Clinic List - DNA,password,${REDACTED_PASSWORD},11
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,Clinic List - PUT,password,${REDACTED_PASSWORD},11
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,PASAPI - Patient,password,${REDACTED_PASSWORD},11
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,SessionCode,sample_message_inbound,(blanked),884
Bolton,Bolton/PAS IN.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS IN,Clinic List - DNA,username,${REDACTED_USERNAME},7
Bolton,Bolton/PAS OUT.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,PAS OUT,Set hosnum parameter,sample_message_inbound,(blanked),792
Bolton,Bolton/PAS OUT.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,PAS OUT,Set hosnum parameter,sample_message_outbound,(blanked),220
EK,EK/DICOM.xml,da67d2ba-db52-4f50-898b-b534d71450ab,DICOM,PayloadProcessor API Send,password,${REDACTED_PASSWORD},11
EK,EK/DICOM.xml,da67d2ba-db52-4f50-898b-b534d71450ab,DICOM,Write out file to IolMasterImport incoming folder when device is a Zeiss IOLMaster,password,${REDACTED_PASSWORD},11
EK,EK/Filedrop Correspondence.xml,7a04b9d1-70ac-4008-b809-732b88267f5c,Filedrop Correspondence,Copy file to share,password,${REDACTED_PASSWORD},11
EK,EK/Filedrop Correspondence.xml,7a04b9d1-70ac-4008-b809-732b88267f5c,Filedrop Correspondence,sourceConnector,password,${REDACTED_PASSWORD},11
EK,EK/Filedrop Correspondence.xml,7a04b9d1-70ac-4008-b809-732b88267f5c,Filedrop Correspondence,Copy file to share,sample_message_outbound,(blanked),736
EK,EK/Filedrop Correspondence.xml,7a04b9d1-70ac-4008-b809-732b88267f5c,Filedrop Correspondence,Copy file to share,username,${REDACTED_USERNAME},15
EK,EK/MTW Correspondence.xml,3ad2f609-8045-4da9-b708-2e291f18af15,MTW Correspondence,Copy file to share,password,${REDACTED_PASSWORD},11
EK,EK/MTW Correspondence.xml,3ad2f609-8045-4da9-b708-2e291f18af15,MTW Correspondence,sourceConnector,password,${REDACTED_PASSWORD},11
EK,EK/MTW Correspondence.xml,3ad2f609-8045-4da9-b708-2e291f18af15,MTW Correspondence,Copy file to share,sample_message_outbound,(blanked),736
EK,EK/MTW Correspondence.xml,3ad2f609-8045-4da9-b708-2e291f18af15,MTW Correspondence,Copy file to share,username,${REDACTED_USERNAME},20
EK,EK/PAS IN Maidstone.xml,712ec2e2-92a4-4f7a-bc3d-b216faeddc39,PAS IN Maidstone,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
EK,EK/PAS IN Maidstone.xml,712ec2e2-92a4-4f7a-bc3d-b216faeddc39,PAS IN Maidstone,Clinic List - PUT,password,${REDACTED_PASSWORD},11
EK,EK/PAS IN Maidstone.xml,712ec2e2-92a4-4f7a-bc3d-b216faeddc39,PAS IN Maidstone,PASAPI - Patient,password,${REDACTED_PASSWORD},11
EK,EK/PAS IN Maidstone.xml,712ec2e2-92a4-4f7a-bc3d-b216faeddc39,PAS IN Maidstone,VisitStatusXML,sample_message_inbound,(blanked),604
EK,EK/PAS IN.xml,2a67566e-e26d-4bd9-9e9b-1ea0806c5da4,PAS IN,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
EK,EK/PAS IN.xml,2a67566e-e26d-4bd9-9e9b-1ea0806c5da4,PAS IN,Clinic List - PUT,password,${REDACTED_PASSWORD},11
EK,EK/PAS IN.xml,2a67566e-e26d-4bd9-9e9b-1ea0806c5da4,PAS IN,PASAPI - Patient,password,${REDACTED_PASSWORD},11
EK,EK/PAS IN.xml,2a67566e-e26d-4bd9-9e9b-1ea0806c5da4,PAS IN,VisitStatusXML,sample_message_inbound,(blanked),604
EK,EK/PAS OUT.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,PAS OUT,Set familyname parameter,sample_message_inbound,(blanked),792
EK,EK/PAS OUT.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,PAS OUT,Set familyname parameter,sample_message_outbound,(blanked),316
EK,EK/Synertec Correspondence.xml,685aeaf0-45ba-41d1-afde-187226ce4162,Synertec Correspondence,Copy file to share,password,${REDACTED_PASSWORD},11
EK,EK/Synertec Correspondence.xml,685aeaf0-45ba-41d1-afde-187226ce4162,Synertec Correspondence,sourceConnector,password,${REDACTED_PASSWORD},11
EK,EK/Synertec Correspondence.xml,685aeaf0-45ba-41d1-afde-187226ce4162,Synertec Correspondence,Copy file to share,sample_message_outbound,(blanked),736
EK,EK/Synertec Correspondence.xml,685aeaf0-45ba-41d1-afde-187226ce4162,Synertec Correspondence,Copy file to share,username,${REDACTED_USERNAME},12
ENHT,ENHT/Dicom.xml,da67d2ba-db52-4f50-898b-b534d71450ab,DICOM,PayloadProcessor API Send,password,${REDACTED_PASSWORD},11
ENHT,ENHT/Dicom.xml,da67d2ba-db52-4f50-898b-b534d71450ab,DICOM,Write out file to IolMasterImport incoming folder when device is a Zeiss IOLMaster,password,${REDACTED_PASSWORD},11
ENHT,ENHT/Docman.xml,04524f4d-5201-4c16-b66f-26c3d7783d85,Docman,Destination 1,password,${REDACTED_PASSWORD},11
ENHT,ENHT/Docman.xml,04524f4d-5201-4c16-b66f-26c3d7783d85,Docman,sourceConnector,password,${REDACTED_PASSWORD},11
ENHT,ENHT/Docman.xml,04524f4d-5201-4c16-b66f-26c3d7783d85,Docman,Destination 1,username,${REDACTED_USERNAME},12
ENHT,ENHT/PAS.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS In,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
ENHT,ENHT/PAS.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS In,Clinic List - PUT,password,${REDACTED_PASSWORD},11
ENHT,ENHT/PAS.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS In,PASAPI - Patient,password,${REDACTED_PASSWORD},11
ENHT,ENHT/PAS.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS In,PASAPI - Patient Merge,password,${REDACTED_PASSWORD},11
ENHT,ENHT/PAS.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS In,PASAPI - Secondary Patient,password,${REDACTED_PASSWORD},11
ENHT,ENHT/PAS.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS In,AdmitSource,sample_message_inbound,(blanked),884
ENHT,ENHT/PAS.xml,7a7288a3-5ade-46bc-921d-56baf0a6bf06,PAS In,GenerateSecondaryHospitalNumber,sample_message_inbound,(blanked),884
ENHT,ENHT/PAS.xml,cbc80f6b-73ad-491b-adc6-602ed5705c8b,PAS Out,Set hosnum or nhsnum parameter,sample_message_inbound,(blanked),792
ENHT,ENHT/PAS.xml,cbc80f6b-73ad-491b-adc6-602ed5705c8b,PAS Out,Set hosnum or nhsnum parameter,sample_message_outbound,(blanked),148
Kingston,Kingston/DICOM.xml,da67d2ba-db52-4f50-898b-b534d71450ab,DICOM,PayloadProcessor API Send,password,${REDACTED_PASSWORD},11
Kingston,Kingston/DICOM.xml,da67d2ba-db52-4f50-898b-b534d71450ab,DICOM,Write out file to IolMasterImport incoming folder when device is a Zeiss IOLMaster,password,${REDACTED_PASSWORD},11
Kingston,Kingston/Default Group.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,OpenEyes Correspondence,sourceConnector,password,${REDACTED_PASSWORD},11
Kingston,Kingston/Default Group.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,OpenEyes Correspondence,Parse XML,sample_message_outbound,(blanked),364
Kingston,Kingston/Default Group.xml,06f0b8b8-5ea0-41a4-a0bc-04b89fb5193c,OpenEyes Correspondence,Parse XML,sample_message_outbound,(blanked),736
Kingston,Kingston/Default Group.xml,ba5419a3-24a5-48a2-bd9b-5cb2072e87f4,OpenEyes DICOM Channel,Destination 1,password,${REDACTED_PASSWORD},11
Kingston,Kingston/Default Group.xml,eee5caa4-786f-451b-9a89-f00aeb46f935,OpenEyes DICOM IOLMaster Channel,Destination 1,password,${REDACTED_PASSWORD},11
Kingston,Kingston/Default Group.xml,eee5caa4-786f-451b-9a89-f00aeb46f935,OpenEyes DICOM IOLMaster Channel,Destination 2,password,${REDACTED_PASSWORD},11
Kingston,Kingston/PAS.xml,6c3a10d1-968d-468e-9355-008946825b20,OpenEyes PAS,Clinic List - DELETE,password,${REDACTED_PASSWORD},11
Kingston,Kingston/PAS.xml,6c3a10d1-968d-468e-9355-008946825b20,OpenEyes PAS,Clinic List - PUT,password,${REDACTED_PASSWORD},11
Kingston,Kingston/PAS.xml,6c3a10d1-968d-468e-9355-008946825b20,OpenEyes PAS,PASAPI - Patient,password,${REDACTED_PASSWORD},11
Kingston,Kingston/PAS.xml,6c3a10d1-968d-468e-9355-008946825b20,OpenEyes PAS,PatientIdentifier,sample_message_inbound,(blanked),1372
MEH,MEH/AIS OUT.xml,8439efef-2f9a-46c9-9385-888b4c2d0b92,AIS OUT,Get Flags,password,${REDACTED_PASSWORD},11
MEH,MEH/AIS OUT.xml,8439efef-2f9a-46c9-9385-888b4c2d0b92,AIS OUT,hospNum,sample_message_inbound,(blanked),792
MEH,MEH/AIS OUT.xml,8439efef-2f9a-46c9-9385-888b4c2d0b92,AIS OUT,hospNum,sample_message_outbound,(blanked),172
MEH,MEH/DICOM.xml,319fcf7f-ef08-4564-9dd1-33be634edfd4,DICOM,PayloadProcessor API Send,password,${REDACTED_PASSWORD},11
MEH,MEH/DICOM.xml,319fcf7f-ef08-4564-9dd1-33be634edfd4,DICOM,Write out file to IolMasterImport incoming folder when device is a Zeiss IOLMaster,password,${REDACTED_PASSWORD},11
MEH,MEH/Docman.xml,04524f4d-5201-4c16-b66f-26c3d7783d85,Docman,Destination 1,password,${REDACTED_PASSWORD},11
