instance,channel_name,channel_id,source_transport,inbound_auth,listener_binds_all_ifaces,outbound_http,outbound_https,outbound_basic_auth,dest_queue_enabled,dest_retry_max
Bedford,DICOM,c14efd23,DICOM Listener,-,yes,1,0,yes,0,0
Bedford,Document OUT,375fe7b2,File Reader,-,no,0,0,no,0,3
Bedford,Document Upload PP,f703f9cd,File Reader,-,no,1,0,yes,0,0
Bedford,PAS IN,d69815ee,TCP Listener,-,yes,7,0,yes,0,0
Bedford,PAS OUT,06f0b8b8,HTTP Listener,NONE,yes,2,0,no,0,0
Bolton,CORRESPONDENCE OUT,7a04b9d1,File Reader,-,no,0,0,no,0,0
Bolton,DICOM,c14efd23,DICOM Listener,-,yes,1,0,yes,0,0
Bolton,PAS IN,7a7288a3,TCP Listener,-,yes,8,0,yes,0,0
Bolton,PAS OUT,06f0b8b8,HTTP Listener,NONE,yes,1,0,no,0,0
EK,DICOM,da67d2ba,DICOM Listener,-,yes,1,0,yes,0,0
EK,Filedrop Correspondence,7a04b9d1,File Reader,-,no,0,0,no,0,0
EK,MTW Correspondence,3ad2f609,File Reader,-,no,0,0,no,0,0
EK,PAS IN Maidstone,712ec2e2,TCP Listener,-,yes,4,0,yes,0,0
EK,PAS IN,2a67566e,TCP Listener,-,yes,4,0,yes,0,0
EK,PAS OUT,06f0b8b8,HTTP Listener,NONE,yes,1,0,no,0,0
EK,Synertec Correspondence,685aeaf0,File Reader,-,no,0,0,no,0,0
ENHT,DICOM,da67d2ba,DICOM Listener,-,yes,1,0,yes,0,0
ENHT,Docman,04524f4d,File Reader,-,no,0,0,no,0,0
ENHT,PAS In,7a7288a3,TCP Listener,-,yes,7,0,yes,0,0
ENHT,PAS Out,cbc80f6b,HTTP Listener,NONE,yes,1,0,no,0,0
Kingston,DICOM,da67d2ba,DICOM Listener,-,yes,1,0,yes,0,0
Kingston,OpenEyes Correspondence,06f0b8b8,File Reader,-,no,0,0,no,0,0
Kingston,OpenEyes DICOM Channel,ba5419a3,DICOM Listener,-,yes,1,0,yes,0,0
Kingston,OpenEyes DICOM IOLMaster Channel,eee5caa4,DICOM Listener,-,yes,1,0,yes,0,0
Kingston,OpenEyes PAS,6c3a10d1,TCP Listener,-,yes,4,0,yes,0,0
MEH,AIS OUT,8439efef,HTTP Listener,NONE,yes,0,1,yes,0,0
MEH,AIS Sender,8c65e82d,Channel Reader,-,no,0,0,no,0,0
MEH,DICOM,319fcf7f,DICOM Listener,-,yes,0,1,yes,0,0
MEH,Docman,04524f4d,File Reader,-,no,0,0,no,0,0
MEH,OpenEyes PAS Query v2,969561b8,HTTP Listener,NONE,yes,2,0,no,0,0
MEH,OpenEyes PAS v2,7d6b6b87,TCP Listener,-,yes,3,6,yes,0,0
Newmedica,DICOM,99f6d548,DICOM Listener,-,yes,1,0,yes,0,3
Newmedica,Docman,d77eae0b,File Reader,-,no,0,0,no,0,0
Newmedica,Generic Document processor,c878f575,Channel Reader,-,no,1,0,yes,0,0
Newmedica,Generic Document processor OLD,95e0a91d,Channel Reader,-,no,1,0,yes,0,0
Newmedica,OpenEyes Document In,0e8bdcb1,TCP Listener,-,yes,10,0,yes,0,0
Newmedica,OpenEyes PAS In,1fac4399,TCP Listener,-,yes,10,0,yes,0,0
Newmedica,OpenEyes PAS Out,18755f08,HTTP Listener,NONE,yes,1,0,no,1,3
Newmedica,PAS In LOCAL-1-0,ffa240cd,Channel Reader,-,no,10,0,yes,0,0
Newmedica,PAS In LOCAL-184-0,26d6b455,Channel Reader,-,no,10,0,yes,0,0
Newmedica,PAS In LOCAL-186-0,9f82c6ab,Channel Reader,-,no,10,0,yes,0,0
