channel_name,CHANNEL_ID,PRACTICE_CODE,RESPOND_AFTER_PROCESSING,DEST_ID,PRACTICE_NAME,UI_RED,UI_GREEN,UI_BLUE
PAS In LOCAL-1-0,ffa240cd-f1be-42c1-a986-ef9a203d7e58,1,false,a2ea3dc1-2a60-4c55-b407-13c97e292822,Anytown,255,0,0
PAS In LOCAL-184-0,26d6b455-48e9-4b65-ae7f-f030dcaa0a8b,184,false,f17440a1-5525-4465-9548-057c42e98e65,Suffolk,0,0,255
PAS In LOCAL-186-0,9f82c6ab-6ab2-4d76-895f-aa4ca1b8d0a7,186,true,c880f495-106b-4e6f-ba9c-4bfb9a47899b,Bristol,255,0,255
PAS In LOCAL-187-0,bd18bf88-46ff-462e-b181-5302b98e4f1f,187,false,f763e62c-b82b-4af4-b66f-ec3d1b8c68c8,Exeter,0,128,128
PAS In LOCAL-188-0,b155ec7f-2e73-475b-b565-b2b509d079ef,188,false,e5f9648f-9603-4321-b220-2a84b9bc3533,Gloucestershire,0,128,0
PAS In LOCAL-189-0,9f9973dd-419c-4166-b45f-1dbe999146ea,189,false,0deb8bfb-7d19-4352-b368-a640ded83927,Leeds,128,0,128
PAS In LOCAL-190-0,09ebb81b-cb25-4357-ba16-9e845cd19241,190,false,a7283c86-ac16-4c40-9eb8-ceec827c2512,Leicester,0,255,0
PAS In LOCAL-191-0,f01ab7a5-b8e2-46a0-8a30-caea6fddeb38,191,false,08fb6bd7-0c28-488f-b5f0-4c23f8fb1ace,Lincolnshire,255,0,255
PAS In LOCAL-192-0,4eca83af-de0f-4a6e-b316-83100f2e132e,192,false,4fe5e5f6-63fa-41ec-a1b6-fc7365aa8077,Newcastle,255,0,0
PAS In LOCAL-204-0,4173965c-f78b-43dd-8840-b65790281a08,204,false,15cea7a4-d29b-4009-8de2-13ad6741b1a6,Norfolk,128,0,0
PAS In LOCAL-205-0,ebd7b20d-130e-41ed-bec4-027592d8f678,205,false,512da74b-fbe8-4526-b864-db08d2569e5b,Barlborough,0,128,0
PAS In LOCAL-206-0,4e8138ae-4407-4fa0-beb4-21a6cae9b2b8,206,false,9edfbc9f-0fd9-494a-92c1-ed57a7c276d0,North Derbyshire,0,0,128
PAS In LOCAL-207-0,79666d06-1c95-4a94-a51e-ee1a74c07e31,207,false,3d56334c-2e8d-4f99-b459-3880f6fc14dd,Plymouth,0,255,0
PAS In LOCAL-208-0,44d1367a-e0fe-4154-b2a3-7128382cf845,208,false,8be3cf8e-38fa-40e3-a62f-f28e507f2e38,Shrewsbury,0,0,128
PAS In LOCAL-209-0,60ae6aac-a8d0-46fc-a873-ee4c65a3952e,209,false,c2cb8649-b3e3-4e82-b22b-15cd2fc67e56,Teesside,0,255,255
PAS In LOCAL-210-0,008a3a87-4ffd-4b4d-b992-3364c6974183,210,false,16f8b5f9-1e34-4a3e-8960-2e19328216bb,Nuneaton,255,255,0
PAS In LOCAL-211-0,1013f884-3dfa-43d1-9ad2-96eb4024d3b1,211,false,bb3222be-bfc4-4b11-acd5-666a068dbd1e,Worcester,255,0,0
PAS In LOCAL-212-0,1d89d5ec-49c2-4677-b8e7-43243e545bc7,212,false,78f5eaab-8e4a-4288-b283-4915f4eefd67,Oxford,0,0,255
PAS In LOCAL-213-0,9924758f-6dd3-4556-8776-72084e8a4f12,213,false,fda461f5-11fa-42f8-9823-a283a0e5e843,Birmingham,128,0,128
PAS In LOCAL-214-0,0a330e7d-25b4-4588-b102-3dd780a130ed,214,false,4456acaf-ac5e-4de2-aa0c-7006ff68990f,Nottingham,128,128,0
PAS In LOCAL-215-0,bc05215d-34c3-4486-a3ea-40134491d392,215,false,90de6feb-6eb8-428b-9545-151e5c1fd3cb,Hampshire,128,0,0
PAS In LOCAL-216-0,3e4d1367-d4e0-4bed-9034-f21b50351583,216,false,395f9550-f8c9-44a2-913b-80f8c9946ea4,Berkshire,0,128,128
PAS In LOCAL-217-0,b53952c7-8d31-4f8f-8f7b-ce536a0b6c7e,217,false,841e7b2c-3a0f-400c-9140-582ced184fc4,Manchester,255,0,0
PAS In LOCAL-218-0,566f5c0b-fa86-458a-8b6e-74593f0782af,218,false,99af21a1-0ff6-4997-9091-7711d1e47a65,Hertfordshire,128,0,0
PAS In LOCAL-219-0,d7b58099-c50c-4a1a-8d67-a4d80d0a0ed9,219,false,55d258c2-369f-49c7-aa9c-528327bd3c9c,Coventry,128,128,0
PAS In LOCAL-221-0,f80bfe7c-e2f9-4560-9b08-80460de6fb31,221,false,195ead5d-bc2d-47c0-a814-e0e786cf7750,Bradford,255,255,0
PAS In LOCAL-222-0,33b1c017-edf4-4feb-81b8-e59eb1f63f09,222,false,48eefb7f-257e-4ae3-a5ca-bf4feb3d83e5,West Cheshire,0,255,255
PAS In LOCAL-223-0,81982f7b-ec91-42a8-a5ed-8352265f2e17,223,false,f15d3b00-4c30-4dc7-bf8c-0c89e08936e3,Peterborough,0,0,128
